"grade","final","hw","quizzes","class","semester","time"
0.852380952380952,0.571428571428571,1,0.722222222222222,"154","Fall 2025","Fall 2025"
0.746666666666667,0.666666666666667,1,0.322222222222222,"154","Fall 2025","Fall 2025"
0.983333333333333,1,1,0.944444444444445,"154","Fall 2025","Fall 2025"
0.672976190476191,0.547619047619048,0.983333333333333,0.3,"154","Fall 2025","Fall 2025"
0.952857142857143,0.952380952380952,1,0.866666666666667,"154","Fall 2025","Fall 2025"
0.81047619047619,0.547619047619048,0.966666666666667,0.622222222222222,"154","Fall 2025","Fall 2025"
0.913333333333333,0.833333333333333,1,0.794444444444445,"154","Fall 2025","Fall 2025"
0.897619047619048,0.761904761904762,1,0.777777777777778,"154","Fall 2025","Fall 2025"
0.772435064935065,0.547619047619048,0.985714285714286,0.625,"154","Fall 2025","Fall 2025"
0.855,0.666666666666667,1,0.683333333333333,"154","Fall 2025","Fall 2025"
0.927619047619048,0.761904761904762,1,0.877777777777778,"154","Fall 2025","Fall 2025"
0.963095238095238,0.976190476190476,1,0.888888888888889,"154","Fall 2025","Fall 2025"
0.638809523809524,0.0476190476190476,1,0.322222222222222,"154","Fall 2025","Fall 2025"
0.713988095238095,0.523809523809524,0.715,0.522222222222222,"154","Fall 2025","Fall 2025"
0.815714285714286,0.571428571428571,1,0.6,"154","Fall 2025","Fall 2025"
0.736839826839827,0.547619047619048,1,0.394444444444444,"154","Fall 2025","Fall 2025"
0.823571428571429,0.69047619047619,0.8,0.733333333333333,"154","Fall 2025","Fall 2025"
0.853809523809524,0.714285714285714,1,0.655555555555556,"154","Fall 2025","Fall 2025"
0.895833333333333,0.833333333333333,0.983333333333333,0.75,"154","Fall 2025","Fall 2025"
0.922142857142857,0.880952380952381,1,0.8,"154","Fall 2025","Fall 2025"
0.80952380952381,0.619047619047619,1,0.555555555555556,"154","Fall 2025","Fall 2025"
0.79452380952381,0.452380952380952,1,0.588888888888889,"154","Fall 2025","Fall 2025"
0.920952380952381,0.761904761904762,1,0.855555555555556,"154","Fall 2025","Fall 2025"
0.879935064935065,0.857142857142857,1,0.716666666666667,"154","Fall 2025","Fall 2025"
0.968095238095238,0.976190476190476,1,0.905555555555556,"154","Fall 2025","Fall 2025"
0.952619047619048,0.928571428571429,1,0.877777777777778,"154","Fall 2025","Fall 2025"
0.941904761904762,0.857142857142857,1,0.877777777777778,"154","Fall 2025","Fall 2025"
0.764047619047619,0.571428571428571,1,0.477777777777778,"154","Fall 2025","Fall 2025"
0.731547619047619,0.404761904761905,0.983333333333333,0.466666666666667,"154","Fall 2025","Fall 2025"
0.623614718614719,0.595238095238095,0.740952380952381,0.4,"154","Fall 2025","Fall 2025"
0.803506493506494,0.714285714285714,1,0.633333333333333,"154","Fall 2025","Fall 2025"
0.961428571428571,0.976190476190476,1,0.883333333333333,"154","Fall 2025","Fall 2025"
0.963095238095238,0.976190476190476,1,0.888888888888889,"154","Fall 2025","Fall 2025"
0.927142857142857,0.880952380952381,0.966666666666667,0.894444444444444,"154","Fall 2025","Fall 2025"
0.891190476190476,0.785714285714286,1,0.744444444444444,"154","Fall 2025","Fall 2025"
0.678382034632035,0.80952380952381,0.556904761904762,0.633333333333333,"154","Fall 2025","Fall 2025"
0.894523809523809,0.785714285714286,1,0.755555555555556,"154","Fall 2025","Fall 2025"
0.956428571428571,0.976190476190476,1,0.866666666666667,"154","Fall 2025","Fall 2025"
0.94547619047619,0.880952380952381,1,0.877777777777778,"154","Fall 2025","Fall 2025"
0.876190476190476,0.785714285714286,1,0.694444444444444,"154","Fall 2025","Fall 2025"
0.959761904761905,0.976190476190476,1,0.877777777777778,"154","Fall 2025","Fall 2025"
0.725,0,0.8,0.75,"154","Fall 2025","Fall 2025"
0.912380952380952,0.738095238095238,1,0.838888888888889,"154","Fall 2025","Fall 2025"
0.912619047619048,0.761904761904762,1,0.827777777777778,"154","Fall 2025","Fall 2025"
1,1,1,1,"154","Fall 2025","Fall 2025"
0.991428571428571,0.976190476190476,1,0.983333333333333,"154","Fall 2025","Fall 2025"
0.930714285714286,0.904761904761905,1,0.816666666666667,"154","Fall 2025","Fall 2025"
0.927619047619048,0.928571428571429,1,0.794444444444445,"154","Fall 2025","Fall 2025"
0.989761904761905,0.976190476190476,1,0.977777777777778,"154","Fall 2025","Fall 2025"
0.927142857142857,0.880952380952381,1,0.816666666666667,"154","Fall 2025","Fall 2025"
0.882142857142857,0.714285714285714,1,0.8,"154","Fall 2025","Fall 2025"
0.934404761904762,0.880952380952381,0.935714285714286,0.894444444444444,"154","Fall 2025","Fall 2025"
0.986666666666667,1,1,0.955555555555556,"154","Fall 2025","Fall 2025"
0.979285714285714,0.928571428571429,1,0.966666666666667,"154","Fall 2025","Fall 2025"
0.981190476190476,0.952380952380952,1,0.961111111111111,"154","Fall 2025","Fall 2025"
0.935238095238095,0.857142857142857,1,0.855555555555556,"154","Fall 2025","Fall 2025"
0.939285714285714,0.928571428571429,0.98,0.9,"154","Fall 2025","Fall 2025"
1,1,1,1,"154","Fall 2025","Fall 2025"
0.940952380952381,0.761904761904762,1,0.922222222222222,"154","Fall 2025","Fall 2025"
0.976190476190476,0.952380952380952,1,0.944444444444444,"154","Fall 2025","Fall 2025"
0.915694444444444,0.875,1,0.781481481481482,"154","Fall 2025","Fall 2025"
0.794623015873016,0.645833333333333,0.973214285714286,0.514814814814815,"154","Fall 2025","Fall 2025"
0.907708333333333,0.8125,0.99,0.794444444444445,"154","Fall 2025","Fall 2025"
0.786944444444444,0.583333333333333,0.933333333333333,0.603703703703704,"154","Fall 2025","Fall 2025"
0.819375,0.729166666666667,1,0.533333333333333,"154","Fall 2025","Fall 2025"
0.982549019607843,0.866666666666667,0.989705882352941,1,"154","Spring 2025","Spring 2025"
0.9653663003663,0.7,0.992582417582418,0.991666666666667,"154","Spring 2025","Spring 2025"
0.952745098039216,0.766666666666667,0.998529411764706,0.833333333333333,"154","Spring 2025","Spring 2025"
0.909723120017238,0.733333333333333,0.953474466709761,0.775,"154","Spring 2025","Spring 2025"
0.908947368421053,0,0.997368421052632,1,"154","Spring 2025","Spring 2025"
0.741582102108418,0.5,0.607526683842473,0.85,"154","Spring 2025","Spring 2025"
0.916153846153846,0.6,0.990384615384615,0.8,"154","Spring 2025","Spring 2025"
0.905852130325815,0.366666666666667,0.993796992481203,0.858333333333333,"154","Spring 2025","Spring 2025"
0.864423558897243,0.3,0.993796992481203,0.791666666666667,"154","Spring 2025","Spring 2025"
0.932408906882591,0.666666666666667,0.993522267206478,0.841666666666667,"154","Spring 2025","Spring 2025"
0.927214452214452,0.533333333333333,0.972202797202797,0.925,"154","Spring 2025","Spring 2025"
0.966666666666667,0.766666666666667,1,0.95,"154","Spring 2025","Spring 2025"
0.814411764705882,0.433333333333333,0.998529411764706,0.358333333333333,"154","Spring 2025","Spring 2025"
0.826025641025641,0.466666666666667,0.794230769230769,0.808333333333333,"154","Spring 2025","Spring 2025"
0.878642533936652,0.233333333333333,0.996606334841629,0.783333333333333,"154","Spring 2025","Spring 2025"
0.931013986013986,0.5,0.990034965034965,0.925,"154","Spring 2025","Spring 2025"
0.894411764705882,0.466666666666667,0.998529411764706,0.741666666666667,"154","Spring 2025","Spring 2025"
0.979230769230769,0.9,0.998076923076923,0.95,"154","Spring 2025","Spring 2025"
0.962315233785822,0.6,0.984954751131222,0.991666666666667,"154","Spring 2025","Spring 2025"
0.99,0.8,1,1,"154","Spring 2025","Spring 2025"
0.97,0.7,1,1,"154","Spring 2025","Spring 2025"
0.941078431372549,0.533333333333333,0.998529411764706,0.941666666666667,"154","Spring 2025","Spring 2025"
0.661529842706313,0.2,0.988348416289593,0.6,"154","Spring 2025","Spring 2025"
0.971666666666667,0.866666666666667,1,0.925,"154","Spring 2025","Spring 2025"
0.86011655011655,0.866666666666667,0.991958041958042,0.383333333333333,"154","Spring 2025","Spring 2025"
0.932745098039216,0.8,0.998529411764706,0.716666666666667,"154","Spring 2025","Spring 2025"
1,0.966666666666667,1,1,"154","Spring 2025","Spring 2025"
0.893111398405516,0.733333333333333,0.991111829347123,0.7,"154","Spring 2025","Spring 2025"
0.8053663003663,0.266666666666667,0.996153846153846,0.508333333333333,"154","Spring 2025","Spring 2025"
0.964411764705882,0.733333333333333,0.998529411764706,0.958333333333333,"154","Spring 2025","Spring 2025"
0.894570079043763,0.6,0.98582995951417,0.808333333333333,"154","Spring 2025","Spring 2025"
0.915309200603318,0.533333333333333,0.996606334841629,0.816666666666667,"154","Spring 2025","Spring 2025"
0.857983193277311,0.266666666666667,0.998529411764706,0.766666666666667,"154","Spring 2025","Spring 2025"
0.946975867269985,0.766666666666667,0.996606334841629,0.858333333333333,"154","Spring 2025","Spring 2025"
0.946078431372549,0.6,0.998529411764706,0.883333333333333,"154","Spring 2025","Spring 2025"
0.973725490196078,0.8,0.992647058823529,0.983333333333333,"154","Spring 2025","Spring 2025"
0.791078431372549,0.133333333333333,0.998529411764706,0.391666666666667,"154","Spring 2025","Spring 2025"
0.868178137651822,0.3,0.995445344129555,0.7,"154","Spring 2025","Spring 2025"
0.977424242424243,0.833333333333333,0.997727272727273,0.975,"154","Spring 2025","Spring 2025"
0.821289536057338,0.166666666666667,0.990128602048107,0.65,"154","Spring 2025","Spring 2025"
0.870785391079509,0.566666666666667,0.921606334841629,0.891666666666667,"154","Spring 2025","Spring 2025"
1,0.933333333333333,1,1,"154","Spring 2025","Spring 2025"
0.904411764705882,0.3,0.998529411764706,0.875,"154","Spring 2025","Spring 2025"
0.999411764705882,0.9,0.998529411764706,1,"154","Spring 2025","Spring 2025"
0.916930561698364,0.8,0.995897832817338,0.8,"154","Spring 2025","Spring 2025"
0.951666666666667,0.733333333333333,1,0.891666666666667,"154","Spring 2025","Spring 2025"
0.991666666666667,0.933333333333333,1,0.991666666666667,"154","Spring 2025","Spring 2025"
0.971078431372549,0.733333333333333,0.998529411764706,0.991666666666667,"154","Spring 2025","Spring 2025"
0.994230769230769,0.866666666666667,0.998076923076923,0.991666666666667,"154","Spring 2025","Spring 2025"
0.985,0.9,1,0.975,"154","Spring 2025","Spring 2025"
0.998823529411765,0.9,0.997058823529412,1,"154","Spring 2025","Spring 2025"
1,0.966666666666667,0.998529411764706,1,"154","Spring 2025","Spring 2025"
0.988578431372549,0.933333333333333,0.998529411764706,0.979166666666667,"154","Spring 2025","Spring 2025"
0.998888888888889,0.888888888888889,1,1,"154","Spring 2025","Spring 2025"
0.910889140271493,0.555555555555556,0.991806184012066,0.743055555555556,"154","Spring 2025","Spring 2025"
0.925030165912519,0.511111111111111,0.991742081447964,0.836111111111111,"154","Spring 2025","Spring 2025"
0.945781045751634,0.755555555555556,0.990147058823529,0.954166666666667,"154","Spring 2025","Spring 2025"
0.945608734402852,0.666666666666667,0.961938502673797,0.970833333333333,"154","Spring 2025","Spring 2025"
1,0.977777777777778,1,1,"154","Spring 2025","Spring 2025"
0.990613008644318,0.844444444444444,0.992504743833017,0.995833333333333,"154","Spring 2025","Spring 2025"
0.840230015082956,0.733333333333333,0.731825037707391,0.820833333333333,"154","Spring 2025","Spring 2025"
0.952104575163399,0.711111111111111,0.987205882352941,0.930555555555556,"154","Spring 2025","Spring 2025"
0.964186777275013,0.755555555555556,0.994494720965309,0.954166666666667,"154","Spring 2025","Spring 2025"
0.950297888386124,0.666666666666667,0.994494720965309,0.929166666666667,"154","Spring 2025","Spring 2025"
0.965813761401997,0.911111111111111,0.994494720965309,0.991666666666667,"154","Spring 2025","Spring 2025"
0.994133986928105,0.955555555555556,0.998529411764706,0.995833333333333,"154","Spring 2025","Spring 2025"
0.967679738562091,0.844444444444444,0.995588235294118,0.925,"154","Spring 2025","Spring 2025"
0.994814814814815,0.955555555555556,0.998148148148148,1,"154","Spring 2025","Spring 2025"
0.997770833333333,1,0.994444444444444,1,"151A","Fall 2024","Fall 2024"
0.9941875,1,0.9975,0.9875,"151A","Fall 2024","Fall 2024"
0.987508333333333,1,0.996111111111111,1,"151A","Fall 2024","Fall 2024"
0.9856245,1,0.998333333333333,0.958333333333333,"151A","Fall 2024","Fall 2024"
0.9841245,1,0.9975,0.954166666666667,"151A","Fall 2024","Fall 2024"
0.983238,0.989583333333333,1,1,"151A","Fall 2024","Fall 2024"
0.980707833333333,1,0.998611111111111,0.941666666666667,"151A","Fall 2024","Fall 2024"
0.980425,1,0.9975,0.975,"151A","Fall 2024","Fall 2024"
0.980395833333333,0.989583333333333,0.993611111111111,0.95,"151A","Fall 2024","Fall 2024"
0.978875,1,1,0.933333333333333,"151A","Fall 2024","Fall 2024"
